,Pitcher,Batter,BatterTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
27,Matthew Dalquist,Nolan Brown,Stephen f. austin state,Fastball,StrikeCalled,,88.77505014930657,18.219642003234046,13.417401005682226,1.969628329542586,-0.0977391305812064
28,Matthew Dalquist,Nolan Brown,Stephen f. austin state,Fastball,StrikeSwinging,,90.41580137763891,18.207214660819695,12.499464693799728,3.156226854857949,-0.3878791780680963
29,Matthew Dalquist,Nolan Brown,Stephen f. austin state,Fastball,BallCalled,,90.1063077844271,18.983216105595854,11.519839088182549,1.5307666113060638,-0.9180917522014932
30,Matthew Dalquist,Nolan Brown,Stephen f. austin state,Slider,StrikeSwinging,StrikeoutSwinging,82.38711803219199,5.998810800615246,-4.557411944755189,1.0066299078211938,-1.823759479090478
31,Matthew Dalquist,Tom Biggs,Stephen f. austin state,Fastball,InPlay,Out,89.75551267989324,18.999077570642704,11.273338110290808,2.189582702221412,0.42894844726525
52,Matthew Dalquist,Sam Adams,Stephen f. austin state,Fastball,StrikeCalled,,87.7980512878118,18.576719214594828,12.20597836265252,3.584602494863457,0.2742059245547447
53,Matthew Dalquist,Sam Adams,Stephen f. austin state,Curveball,Foul,,72.51772888064721,-5.750869975858628,-15.00631038706286,2.592140915189269,0.0816390441881538
54,Matthew Dalquist,Sam Adams,Stephen f. austin state,Fastball,StrikeSwinging,StrikeoutSwinging,89.77129509754883,18.192633959975247,12.281354014690937,3.30208582818794,0.4956688468507383
55,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Fastball,StrikeCalled,,87.10625057561693,17.847275716085868,12.681423315492951,3.4314129437738994,1.0102023569965002
56,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Changeup,BallCalled,,81.97138248608924,11.85421185562874,16.5598504719758,0.7775358002331944,-0.4331112866525929
57,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Fastball,BallCalled,,88.51265789420185,18.16210684587133,13.67897901212424,4.187259368455548,1.39275795720176
58,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Fastball,BallCalled,,88.37163017771918,18.50378123668473,12.2601924712085,3.782822015407537,1.7896874728671994
59,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Fastball,InPlay,Out,88.51327881220851,18.451018700951877,12.881634928200636,1.8983919168399772,0.1186738859617456
60,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Fastball,BallCalled,,87.8987412623872,17.453427276813912,13.180364908571535,3.081636513446829,1.647062708711571
61,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Changeup,StrikeSwinging,,82.71434035059221,12.382269219282506,14.881690581801324,2.2309383607204003,0.5525006187377425
62,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Changeup,StrikeSwinging,,83.1753861107491,11.710110809011269,16.637070670863753,1.2395584305528264,1.03516597303075
63,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Fastball,StrikeSwinging,StrikeoutSwinging,89.21060740504788,18.94958300053774,12.310912952618631,2.045084112011012,1.2561069964957738
73,Matthew Dalquist,Cole Hill,Stephen f. austin state,Curveball,StrikeCalled,,72.1887225870243,-9.318080664986034,-14.18031187447306,1.38845205110438,0.4974238381826845
74,Matthew Dalquist,Cole Hill,Stephen f. austin state,Slider,Foul,,80.83832044516022,3.565984559164441,-6.857495842901678,1.667836256491326,0.2544941217258273
75,Matthew Dalquist,Cole Hill,Stephen f. austin state,Fastball,InPlay,Double,87.51443808834578,19.314769466848592,10.94427062523418,3.441377450667477,-0.2561279357306592
76,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Changeup,Foul,,84.0844423295861,11.386364294128938,17.307795405747648,1.1553077327529735,0.449304301913777
77,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Changeup,BallCalled,,81.47233901407137,12.22855485551858,16.575681300460364,3.44654813938452,2.1512737377221613
78,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Curveball,Foul,,73.13638599086174,-6.966395060107125,-15.865706847743471,1.803371267264614,0.7586672386588962
79,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Curveball,StrikeSwinging,Error,73.46315855040191,-9.473192238962897,-13.765615547164929,-0.0047039930446658,-0.2408173443653921
80,Matthew Dalquist,Cal Martin,Stephen f. austin state,Slider,StrikeSwinging,,81.68527523904272,5.603519784295045,-5.12603445158046,1.9650434989696195,-0.3925597460779063
81,Matthew Dalquist,Cal Martin,Stephen f. austin state,Slider,BallCalled,,82.0536206819454,5.444491290801416,-4.379256811810255,1.0566733565778128,-1.25353339107889
82,Matthew Dalquist,Cal Martin,Stephen f. austin state,Fastball,InPlay,Sacrifice,88.3948668029411,19.007314145879175,12.959537299278454,2.8168268842899065,0.7512974061746629
83,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Changeup,StrikeSwinging,,83.99707890549391,11.101579296905012,15.616328009042157,1.9878302272455064,1.449451726592986
84,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Fastball,StrikeSwinging,,88.98167360058798,18.345107596348655,14.1397174478485,1.9251181461701925,0.58425234226012
85,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Fastball,StrikeSwinging,StrikeoutSwinging,89.00757095891856,,,3.950682779846675,0.7351393311367026
86,Matthew Dalquist,Nolan Brown,Stephen f. austin state,Slider,StrikeSwinging,,83.10954942973665,6.615990193330404,-4.027193237307267,2.520178074310174,-1.8047313305625368
87,Matthew Dalquist,Nolan Brown,Stephen f. austin state,Slider,InPlay,Single,83.81255592940569,6.504290741353756,-5.8931391830624005,1.941319059311984,-0.5532109911148904
88,Matthew Dalquist,Tom Biggs,Stephen f. austin state,Slider,InPlay,Out,82.40194015907208,10.20149703108916,17.93128763152554,1.32202859149187,0.0199309625803991
113,Matthew Dalquist,Sam Adams,Stephen f. austin state,Fastball,Foul,,87.33325807671291,19.050785325323783,13.153898643622748,2.638930677785993,-0.2294952500685727
114,Matthew Dalquist,Sam Adams,Stephen f. austin state,Changeup,StrikeSwinging,,81.28015868355561,10.941574918460615,16.52576253166124,3.1212184086054284,0.5702853832697115
115,Matthew Dalquist,Sam Adams,Stephen f. austin state,Slider,InPlay,Out,83.02611890780383,5.968189729474922,-3.1938448439477245,2.0103727402977905,-0.7955395086547892
116,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Fastball,BallCalled,,87.14349243634105,,,3.3570971930433755,2.901742113561669
117,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Fastball,BallCalled,,86.70253505457708,19.22397795202517,13.590590687301995,2.5900030784247594,2.2703900283695297
118,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Fastball,Foul,,86.88531416187747,18.928096491971967,13.202537058336626,3.2505827961982003,1.011554080621804
119,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Fastball,BallCalled,,87.2763766656427,18.608509249738493,13.14898604572904,3.2767135518934776,1.8744487709986204
120,Matthew Dalquist,Dylan Bourgeios,Stephen f. austin state,Curveball,BallCalled,,71.0754876740953,-9.59506594108533,-15.272720866322269,4.130465356869035,0.0328448890090537
121,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Fastball,BallCalled,,87.96786707008033,19.65099161434217,12.44122932755387,2.576303020535363,1.8172296529081151
122,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Changeup,StrikeSwinging,,81.34290505581423,12.423860041976774,15.553022376340207,1.3523705369632717,0.4913438014788917
123,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Changeup,BallCalled,,81.5122438496828,12.283419404243515,16.233491125574666,1.5662120973526394,-0.499735859360454
